"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"1","1","1",24,6,8,2,8,9,4,1,7,4,9,3,3,3,2,3,65,34,99,27,18,27.2727272727273,18.1818181818182,34.3434343434343,65.6565656565657
"2","1","2",78,12,13,1,13,1,2,0,12,2,1,1,1,1,0,0,123,18,141,78,2,55.3191489361702,1.41843971631206,12.7659574468085,87.2340425531915
"3","1","3",84,12,16,3,15,4,4,0,12,7,3,1,4,0,0,0,141,27,168,84,7,50,4.16666666666667,16.0714285714286,83.9285714285714
"4","1","4",124,5,5,0,5,1,0,0,5,0,1,0,0,0,0,0,143,6,149,124,2,83.2214765100671,1.34228187919463,4.02684563758389,95.9731543624161
"5","1","5",93,9,9,0,10,1,0,0,10,0,1,0,0,0,0,0,125,11,136,93,2,68.3823529411765,1.47058823529412,8.08823529411765,91.9117647058823
"6","1","6",134,6,5,1,5,2,1,0,6,0,2,0,1,0,0,0,157,9,166,134,4,80.7228915662651,2.40963855421687,5.42168674698795,94.578313253012
"7","10","1",2,4,1,4,3,4,2,9,4,2,6,6,3,8,9,38,31,77,108,40,10,37.037037037037,9.25925925925926,71.2962962962963,28.7037037037037
"8","10","2",0,0,1,1,2,3,2,2,0,2,4,4,0,5,2,2,12,21,33,2,7,6.06060606060606,21.2121212121212,63.6363636363636,36.3636363636364
"9","10","3",0,0,0,1,0,2,3,2,0,1,2,4,1,3,2,2,9,17,26,2,4,7.69230769230769,15.3846153846154,65.3846153846154,34.6153846153846
"10","10","4",3,1,1,3,1,1,3,0,1,3,2,0,2,1,0,0,15,10,25,3,3,12,12,40,60
"11","10","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,50,50
"12","10","6",2,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,7,3,10,2,0,20,0,30,70
"13","100","1",0,0,0,0,0,3,0,2,0,0,2,2,0,1,1,24,5,33,38,24,5,63.1578947368421,13.1578947368421,86.8421052631579,13.1578947368421
"14","100","2",0,0,0,0,0,4,5,11,0,0,4,16,0,16,11,38,20,88,108,38,8,35.1851851851852,7.40740740740741,81.4814814814815,18.5185185185185
"15","100","3",0,1,0,6,2,6,8,9,1,5,8,11,4,13,9,23,32,77,109,23,14,21.1009174311927,12.8440366972477,70.6422018348624,29.3577981651376
"16","100","4",0,2,6,7,7,8,6,11,2,11,9,10,6,11,10,13,47,75,122,13,17,10.655737704918,13.9344262295082,61.4754098360656,38.5245901639344
"17","100","5",1,2,5,6,3,12,7,8,2,9,10,9,9,7,9,9,46,65,111,10,22,9.00900900900901,19.8198198198198,58.5585585585586,41.4414414414414
"18","100","6",6,4,2,5,5,4,1,11,4,3,7,7,2,10,10,24,38,70,108,30,11,27.7777777777778,10.1851851851852,64.8148148148148,35.1851851851852
"19","101","1",6,5,4,7,5,11,11,11,5,6,12,14,6,15,10,18,60,89,149,24,23,16.1073825503356,15.4362416107383,59.7315436241611,40.2684563758389
"20","101","2",0,0,1,2,0,6,4,14,0,3,5,17,3,16,14,73,28,133,161,73,11,45.3416149068323,6.83229813664596,82.6086956521739,17.3913043478261
"21","101","3",0,0,0,4,1,8,6,13,0,4,9,15,2,16,12,48,32,109,141,48,17,34.0425531914894,12.0567375886525,77.3049645390071,22.6950354609929
"22","101","4",2,3,3,4,3,5,2,12,3,4,5,10,4,11,12,41,35,92,127,43,10,33.8582677165354,7.8740157480315,72.4409448818898,27.5590551181102
"23","101","5",2,2,2,4,3,7,5,9,2,4,8,11,3,11,9,18,35,68,103,20,15,19.4174757281553,14.5631067961165,66.0194174757282,33.9805825242718
"24","101","6",0,2,3,2,3,8,4,7,2,4,8,9,3,9,8,21,31,65,96,21,16,21.875,16.6666666666667,67.7083333333333,32.2916666666667
"25","102","1",23,9,11,6,11,14,6,4,9,8,15,4,5,5,4,2,86,53,139,25,29,17.9856115107914,20.863309352518,38.1294964028777,61.8705035971223
"26","102","2",23,14,14,11,13,8,13,2,14,11,8,4,11,4,2,0,100,55,155,23,16,14.8387096774194,10.3225806451613,35.4838709677419,64.5161290322581
"27","102","3",8,5,12,8,11,11,4,10,5,15,9,6,9,4,10,8,70,68,138,16,20,11.5942028985507,14.4927536231884,49.2753623188406,50.7246376811594
"28","102","4",30,13,11,5,13,10,3,4,14,3,11,2,4,3,4,3,92,44,136,33,21,24.2647058823529,15.4411764705882,32.3529411764706,67.6470588235294
"29","102","5",18,6,5,8,7,8,5,6,6,7,10,3,6,5,6,5,65,49,114,23,18,20.1754385964912,15.7894736842105,42.9824561403509,57.0175438596491
"30","102","6",21,7,7,8,7,2,11,5,7,9,2,8,9,8,5,1,70,50,120,22,4,18.3333333333333,3.33333333333333,41.6666666666667,58.3333333333333
"31","103","1",3,4,2,4,2,0,4,12,4,2,0,12,4,12,11,102,31,150,181,105,0,58.0110497237569,0,82.8729281767956,17.1270718232044
"32","103","2",0,0,0,0,0,1,0,7,0,0,1,7,0,7,7,201,8,226,234,201,2,85.8974358974359,0.854700854700855,96.5811965811966,3.41880341880342
"33","103","3",0,0,0,0,0,0,0,4,0,0,0,4,0,4,4,161,4,176,180,161,0,89.4444444444444,0,97.7777777777778,2.22222222222222
"34","103","4",0,0,0,0,0,0,0,3,0,0,0,3,0,3,3,154,3,166,169,154,0,91.1242603550296,0,98.2248520710059,1.77514792899408
"35","103","5",0,0,0,0,0,1,0,3,0,0,1,3,0,3,3,149,4,162,166,149,2,89.7590361445783,1.20481927710843,97.5903614457831,2.40963855421687
"36","103","6",0,0,0,0,0,3,1,5,0,0,3,6,0,6,5,110,9,133,142,110,6,77.4647887323944,4.22535211267606,93.6619718309859,6.33802816901408
"37","104","1",0,1,3,2,5,4,2,0,1,4,5,1,0,2,0,0,18,15,33,0,9,0,27.2727272727273,45.4545454545455,54.5454545454545
"38","104","2",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,3,5,0,1,0,20,60,40
"39","104","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"40","104","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"41","104","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,50,50
"42","104","6",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,2,5,0,2,0,40,40,60
"43","105","1",6,5,5,11,7,10,10,9,4,11,12,8,8,10,8,12,63,76,139,18,22,12.9496402877698,15.8273381294964,54.6762589928058,45.3237410071942
"44","105","2",3,3,6,9,8,21,10,7,3,12,23,8,7,9,7,9,68,80,148,12,44,8.10810810810811,29.7297297297297,54.0540540540541,45.9459459459459
"45","105","3",5,5,10,10,11,17,10,5,5,14,18,5,8,7,5,6,74,70,144,11,35,7.63888888888889,24.3055555555556,48.6111111111111,51.3888888888889
"46","105","4",5,3,3,5,2,26,7,3,3,6,25,5,6,4,3,4,56,57,113,9,51,7.9646017699115,45.1327433628319,50.4424778761062,49.5575221238938
"47","105","5",2,3,6,6,5,9,9,1,3,9,8,4,6,3,1,0,42,36,78,2,17,2.56410256410256,21.7948717948718,46.1538461538462,53.8461538461538
"48","105","6",6,5,8,4,8,7,5,3,5,7,8,4,4,4,3,3,48,39,87,9,15,10.3448275862069,17.2413793103448,44.8275862068966,55.1724137931034
"49","106","1",32,16,15,8,14,6,7,4,17,7,5,3,9,2,4,2,105,49,154,34,11,22.0779220779221,7.14285714285714,31.8181818181818,68.1818181818182
"50","106","2",46,9,10,3,11,4,4,1,9,4,5,2,3,3,1,1,90,29,119,47,9,39.4957983193277,7.56302521008403,24.3697478991597,75.6302521008403
"51","106","3",18,7,6,6,7,0,3,2,6,5,1,0,4,1,2,1,50,22,72,19,1,26.3888888888889,1.38888888888889,30.5555555555556,69.4444444444444
"52","106","4",5,4,5,6,5,3,4,2,4,7,3,1,5,1,2,0,35,25,60,5,6,8.33333333333333,10,41.6666666666667,58.3333333333333
"53","106","5",2,2,1,2,0,8,4,2,2,2,6,4,4,2,2,1,23,24,47,3,14,6.38297872340426,29.7872340425532,51.063829787234,48.936170212766
"54","106","6",0,1,0,3,1,1,2,4,0,3,2,3,2,4,4,6,14,25,39,6,3,15.3846153846154,7.69230769230769,64.1025641025641,35.8974358974359
"55","107","1",0,1,0,1,0,1,1,8,1,0,1,8,1,8,8,46,12,76,88,46,2,52.2727272727273,2.27272727272727,86.3636363636364,13.6363636363636
"56","107","2",0,0,1,4,1,4,3,8,0,5,4,7,4,8,9,23,22,62,84,23,8,27.3809523809524,9.52380952380952,73.8095238095238,26.1904761904762
"57","107","3",1,1,0,2,0,2,2,9,1,2,2,9,3,9,10,44,19,81,100,45,4,45,4,81,19
"58","107","4",1,1,2,4,3,2,2,5,1,5,3,4,3,5,6,26,21,55,76,27,5,35.5263157894737,6.57894736842105,72.3684210526316,27.6315789473684
"59","107","5",0,0,0,1,0,2,1,6,0,1,1,6,1,5,5,19,10,41,51,19,3,37.2549019607843,5.88235294117647,80.3921568627451,19.6078431372549
"60","107","6",0,0,1,1,0,1,0,4,0,2,0,3,2,2,4,20,7,36,43,20,1,46.5116279069767,2.32558139534884,83.7209302325581,16.2790697674419
"61","108","1",11,5,12,5,9,12,5,6,5,12,9,6,9,3,6,3,67,54,121,14,21,11.5702479338843,17.3553719008264,44.6280991735537,55.3719008264463
"62","108","2",12,6,7,4,8,13,3,2,6,5,14,1,4,1,2,0,57,34,91,12,27,13.1868131868132,29.6703296703297,37.3626373626374,62.6373626373626
"63","108","3",5,6,6,6,5,12,9,0,6,6,11,2,7,1,0,0,50,35,85,5,23,5.88235294117647,27.0588235294118,41.1764705882353,58.8235294117647
"64","108","4",8,5,6,1,5,2,2,1,6,2,1,1,3,0,1,0,33,14,47,8,3,17.0212765957447,6.38297872340426,29.7872340425532,70.2127659574468
"65","108","5",7,2,1,1,1,2,1,0,1,0,2,0,1,0,0,0,17,5,22,7,4,31.8181818181818,18.1818181818182,22.7272727272727,77.2727272727273
