"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"1","1","1",60,17,18,4,17,4,4,1,17,5,3,1,5,0,1,1,128,33,161,61,7,37.888198757764,4.34782608695652,20.4968944099379,79.5031055900621
"2","1","2",40,13,13,3,12,3,7,0,12,3,2,4,4,3,0,0,93,29,122,40,5,32.7868852459016,4.0983606557377,23.7704918032787,76.2295081967213
"3","1","3",3,7,11,1,11,18,5,0,7,4,19,4,0,5,0,0,58,40,98,3,37,3.06122448979592,37.7551020408163,40.8163265306122,59.1836734693878
"4","1","4",3,8,9,1,9,18,4,0,8,3,18,3,2,3,0,0,54,38,92,3,36,3.26086956521739,39.1304347826087,41.304347826087,58.695652173913
"5","1","5",0,4,9,0,9,27,1,1,4,5,27,2,0,2,1,0,53,42,95,0,54,0,56.8421052631579,44.2105263157895,55.7894736842105
"6","1","6",5,10,15,1,15,21,2,0,10,6,20,1,2,0,0,0,71,40,111,5,41,4.5045045045045,36.9369369369369,36.036036036036,63.963963963964
"7","10","1",13,7,13,9,10,9,10,9,7,14,6,10,11,7,9,8,81,74,155,21,15,13.5483870967742,9.67741935483871,47.741935483871,52.258064516129
"8","10","2",19,12,16,5,14,13,6,2,12,9,11,3,7,1,2,0,89,46,135,19,24,14.0740740740741,17.7777777777778,34.0740740740741,65.9259259259259
"9","10","3",2,2,7,4,8,52,4,5,2,10,53,5,4,5,5,5,86,90,176,7,105,3.97727272727273,59.6590909090909,51.1363636363636,48.8636363636364
"10","10","4",22,9,14,4,13,32,6,0,8,9,32,2,4,2,0,0,102,58,160,22,64,13.75,40,36.25,63.75
"11","10","5",27,17,18,4,17,5,5,3,17,5,4,4,5,3,3,1,99,42,141,28,9,19.8581560283688,6.38297872340426,29.7872340425532,70.2127659574468
"12","10","6",23,8,10,5,10,7,8,3,7,7,7,6,5,6,3,1,76,43,119,24,14,20.1680672268908,11.7647058823529,36.1344537815126,63.8655462184874
"13","11","1",10,6,9,8,10,41,9,5,5,11,42,6,7,7,5,6,100,90,190,16,83,8.42105263157895,43.6842105263158,47.3684210526316,52.6315789473684
"14","11","2",2,7,10,6,11,22,4,6,7,9,23,4,5,4,5,10,68,70,138,12,45,8.69565217391304,32.6086956521739,50.7246376811594,49.2753623188406
"15","11","3",3,3,6,6,6,7,6,5,3,9,7,5,5,5,4,11,42,52,94,14,14,14.8936170212766,14.8936170212766,55.3191489361702,44.6808510638298
"16","11","4",1,3,2,5,3,3,4,6,3,4,4,6,3,7,6,12,28,47,75,13,7,17.3333333333333,9.33333333333333,62.6666666666667,37.3333333333333
"17","11","5",0,1,2,2,1,6,4,6,1,3,5,8,3,7,7,7,23,43,66,7,11,10.6060606060606,16.6666666666667,65.1515151515152,34.8484848484849
"18","11","6",3,3,3,1,1,4,1,5,3,2,2,5,4,3,6,6,23,32,55,9,6,16.3636363636364,10.9090909090909,58.1818181818182,41.8181818181818
"19","12","1",0,1,0,4,2,27,6,11,1,3,29,12,2,14,10,19,51,93,144,19,56,13.1944444444444,38.8888888888889,64.5833333333333,35.4166666666667
"20","12","2",1,1,2,1,1,29,4,5,1,2,28,8,2,7,5,14,45,69,114,15,57,13.1578947368421,50,60.5263157894737,39.4736842105263
"21","12","3",0,1,2,5,2,9,5,10,1,6,9,9,5,9,10,19,35,70,105,19,18,18.0952380952381,17.1428571428571,66.6666666666667,33.3333333333333
"22","12","4",0,3,0,3,1,4,3,12,3,0,4,12,2,12,11,19,26,66,92,19,8,20.6521739130435,8.69565217391304,71.7391304347826,28.2608695652174
"23","12","5",0,2,1,2,2,3,3,11,2,2,3,12,2,12,11,14,26,59,85,14,6,16.4705882352941,7.05882352941176,69.4117647058823,30.5882352941176
"24","12","6",1,1,5,2,1,22,9,5,1,6,19,12,6,9,6,6,48,66,114,7,41,6.14035087719298,35.9649122807018,57.8947368421053,42.1052631578947
"25","13","1",22,11,12,10,12,15,12,8,11,11,15,10,9,10,7,8,102,84,186,30,30,16.1290322580645,16.1290322580645,45.1612903225806,54.8387096774194
"26","13","2",42,14,16,4,17,7,7,0,15,6,8,3,4,4,0,0,110,40,150,42,15,28,10,26.6666666666667,73.3333333333333
"27","13","3",54,14,17,3,18,8,3,0,14,6,9,0,2,1,0,0,119,33,152,54,17,35.5263157894737,11.1842105263158,21.7105263157895,78.2894736842105
"28","13","4",58,7,11,3,10,5,4,1,8,7,4,2,5,1,1,0,102,28,130,58,9,44.6153846153846,6.92307692307692,21.5384615384615,78.4615384615385
"29","13","5",56,12,13,1,12,6,2,0,11,2,6,1,1,1,0,0,104,23,127,56,12,44.0944881889764,9.44881889763779,18.1102362204724,81.8897637795276
