"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"1","1","1",86,13,13,3,13,6,4,3,14,3,6,4,4,3,3,0,144,37,181,86,12,47.5138121546961,6.62983425414365,20.4419889502762,79.5580110497238
"2","1","2",99,14,15,3,15,4,3,0,13,4,5,0,2,1,0,0,155,26,181,99,9,54.6961325966851,4.97237569060773,14.3646408839779,85.6353591160221
"3","1","3",55,12,10,3,9,2,3,1,12,1,1,1,5,0,1,1,97,23,120,56,3,46.6666666666667,2.5,19.1666666666667,80.8333333333333
"4","1","4",60,11,9,3,9,1,3,0,11,1,1,0,3,0,0,0,99,16,115,60,2,52.1739130434783,1.73913043478261,13.9130434782609,86.0869565217391
"5","1","5",63,9,10,1,9,1,2,0,9,2,0,1,2,0,0,0,98,14,112,63,1,56.25,0.892857142857143,12.5,87.5
"6","1","6",119,5,3,2,3,0,2,0,5,0,0,0,2,0,0,0,137,7,144,119,0,82.6388888888889,0,4.86111111111111,95.1388888888889
"7","10","1",1,1,8,5,9,23,8,12,1,13,23,15,5,15,12,10,69,95,164,11,46,6.70731707317073,28.0487804878049,57.9268292682927,42.0731707317073
"8","10","2",6,11,10,4,9,23,20,6,11,3,22,21,6,20,6,1,91,91,182,7,45,3.84615384615385,24.7252747252747,50,50
"9","10","3",4,7,8,4,7,22,18,9,7,5,21,23,4,23,9,3,80,97,177,7,43,3.95480225988701,24.2937853107345,54.8022598870056,45.1977401129944
"10","10","4",2,4,4,6,5,26,10,8,4,6,27,12,5,13,8,3,66,80,146,5,53,3.42465753424658,36.3013698630137,54.7945205479452,45.2054794520548
"11","10","5",2,4,6,1,4,41,11,4,4,3,39,13,3,11,4,2,74,81,155,4,80,2.58064516129032,51.6129032258064,52.258064516129,47.741935483871
"12","10","6",3,9,8,6,8,16,6,5,9,5,16,5,6,4,4,8,61,60,121,11,32,9.09090909090909,26.4462809917355,49.5867768595041,50.4132231404959
"13","11","1",4,7,11,5,11,6,3,5,7,9,7,3,5,4,5,5,54,46,100,9,13,9,13,46,54
"14","11","2",7,2,3,0,3,6,0,0,2,1,6,0,0,0,0,0,23,10,33,7,12,21.2121212121212,36.3636363636364,30.3030303030303,69.6969696969697
"15","11","3",5,3,3,1,2,2,1,1,3,1,2,1,2,0,1,1,20,12,32,6,4,18.75,12.5,37.5,62.5
"16","11","4",1,2,3,1,3,2,1,0,2,2,2,1,1,0,0,0,14,10,24,1,4,4.16666666666667,16.6666666666667,41.6666666666667,58.3333333333333
"17","11","5",0,2,1,3,1,3,0,3,2,1,3,1,2,1,3,4,14,19,33,4,6,12.1212121212121,18.1818181818182,57.5757575757576,42.4242424242424
"18","11","6",0,0,3,1,3,3,0,0,0,4,3,0,1,0,0,0,11,10,21,0,6,0,28.5714285714286,47.6190476190476,52.3809523809524
"19","12","1",26,11,9,6,7,12,6,4,11,3,10,5,7,3,4,0,82,45,127,26,22,20.4724409448819,17.3228346456693,35.4330708661417,64.5669291338583
"20","12","2",37,6,7,6,7,6,10,4,7,7,6,8,7,8,5,4,86,52,138,41,12,29.7101449275362,8.69565217391304,37.6811594202899,62.3188405797101
"21","12","3",57,11,9,3,10,2,4,1,10,2,3,2,2,3,1,0,99,24,123,57,5,46.3414634146341,4.0650406504065,19.5121951219512,80.4878048780488
"22","12","4",36,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,45,2,47,36,0,76.5957446808511,0,4.25531914893617,95.7446808510638
"23","12","5",45,2,4,0,4,0,0,0,3,1,0,0,0,0,0,0,58,4,62,45,0,72.5806451612903,0,6.45161290322581,93.5483870967742
"24","12","6",31,5,4,1,4,0,1,0,4,0,0,0,1,0,0,0,48,6,54,31,0,57.4074074074074,0,11.1111111111111,88.8888888888889
"25","13","1",31,16,20,7,22,18,9,2,16,11,20,4,5,5,2,0,126,65,191,31,38,16.2303664921466,19.8952879581152,34.0314136125654,65.9685863874346
"26","13","2",29,19,19,5,20,13,7,3,19,6,13,5,5,5,3,3,117,60,177,32,26,18.0790960451977,14.6892655367232,33.8983050847458,66.1016949152542
"27","13","3",30,15,16,3,16,13,7,0,15,4,14,3,3,4,0,0,102,44,146,30,27,20.5479452054795,18.4931506849315,30.1369863013699,69.8630136986301
"28","13","4",24,9,10,3,6,8,6,1,9,4,5,4,7,0,1,0,69,31,100,24,13,24,13,31,69
"29","13","5",16,8,10,2,11,7,3,1,8,4,8,1,2,2,1,0,60,27,87,16,15,18.3908045977011,17.2413793103448,31.0344827586207,68.9655172413793
"30","13","6",39,6,6,3,7,3,2,2,7,3,4,1,2,2,2,2,71,23,94,41,7,43.6170212765957,7.4468085106383,24.468085106383,75.531914893617
"31","14","1",17,12,9,8,8,20,10,6,12,5,19,9,9,8,7,4,91,75,166,21,39,12.6506024096386,23.4939759036145,45.1807228915663,54.8192771084337
"32","14","2",39,17,19,5,21,8,6,1,17,7,10,2,3,4,1,0,119,44,163,39,18,23.9263803680982,11.0429447852761,26.9938650306748,73.0061349693252
"33","14","3",86,10,10,2,11,1,1,1,10,2,2,0,1,1,1,0,125,17,142,86,3,60.5633802816901,2.11267605633803,11.9718309859155,88.0281690140845
"34","14","4",101,4,4,0,4,0,0,0,4,0,0,0,0,0,0,0,116,4,120,101,0,84.1666666666667,0,3.33333333333333,96.6666666666667
"35","14","5",50,8,8,0,7,3,0,1,8,0,2,1,1,0,1,2,80,15,95,52,5,54.7368421052632,5.26315789473684,15.7894736842105,84.2105263157895
"36","14","6",49,11,10,3,11,2,3,1,11,2,2,1,3,1,1,0,92,22,114,49,4,42.9824561403509,3.50877192982456,19.2982456140351,80.7017543859649
"37","15","1",4,2,1,6,1,4,4,13,2,5,4,11,6,11,13,68,37,121,158,72,8,45.5696202531646,5.06329113924051,76.5822784810127,23.4177215189873
"38","15","2",0,2,2,5,2,5,3,12,2,5,5,10,5,9,11,18,31,68,99,18,10,18.1818181818182,10.1010101010101,68.6868686868687,31.3131313131313
"39","15","3",0,2,3,4,2,7,4,8,2,5,7,8,5,7,8,15,32,58,90,15,14,16.6666666666667,15.5555555555556,64.4444444444444,35.5555555555556
"40","15","4",1,3,4,3,3,3,5,8,3,4,3,10,4,10,8,6,32,49,81,7,6,8.64197530864197,7.40740740740741,60.4938271604938,39.5061728395062
"41","15","5",5,6,6,3,6,4,4,3,6,4,4,3,4,3,3,1,39,29,68,6,8,8.82352941176471,11.7647058823529,42.6470588235294,57.3529411764706
"42","15","6",9,6,6,3,6,1,5,0,6,4,1,1,4,1,0,0,38,18,56,9,2,16.0714285714286,3.57142857142857,32.1428571428571,67.8571428571429
"43","16","1",0,0,1,4,0,4,2,17,0,5,3,15,5,14,17,91,28,153,181,91,7,50.2762430939227,3.86740331491713,84.5303867403315,15.4696132596685
"44","16","2",1,3,2,8,5,5,6,15,3,7,8,13,5,16,15,76,45,146,191,77,13,40.3141361256544,6.80628272251309,76.4397905759162,23.5602094240838
"45","16","3",1,2,2,5,2,4,2,17,2,5,4,14,5,14,17,100,35,164,199,101,8,50.7537688442211,4.02010050251256,82.4120603015075,17.5879396984925
"46","16","4",0,1,2,2,2,4,4,13,1,3,4,15,2,16,13,91,29,147,176,91,8,51.7045454545455,4.54545454545455,83.5227272727273,16.4772727272727
"47","16","5",0,0,0,3,0,3,3,8,0,3,3,8,3,8,7,84,17,119,136,84,6,61.7647058823529,4.41176470588235,87.5,12.5
"48","16","6",0,1,0,2,0,3,5,8,1,1,3,11,2,11,8,71,19,111,130,71,6,54.6153846153846,4.61538461538461,85.3846153846154,14.6153846153846
"49","17","1",0,2,3,11,6,15,9,20,2,12,18,18,7,21,19,38,66,138,204,38,33,18.6274509803922,16.1764705882353,67.6470588235294,32.3529411764706
"50","17","2",0,0,2,4,3,8,2,16,0,6,9,14,3,15,16,81,35,147,182,81,17,44.5054945054945,9.34065934065934,80.7692307692308,19.2307692307692
"51","17","3",0,2,1,3,2,2,2,9,2,2,3,8,2,9,9,100,21,138,159,100,5,62.8930817610063,3.14465408805031,86.7924528301887,13.2075471698113
"52","17","4",1,2,3,0,1,10,2,11,2,1,8,13,2,10,10,51,30,100,130,52,18,40,13.8461538461538,76.9230769230769,23.0769230769231
"53","17","5",0,0,0,0,0,2,0,9,0,0,2,9,0,9,9,94,11,126,137,94,4,68.6131386861314,2.91970802919708,91.970802919708,8.02919708029197
"54","17","6",0,0,0,4,0,0,1,9,0,4,0,6,4,6,9,115,14,147,161,115,0,71.4285714285714,0,91.304347826087,8.69565217391304
"55","18","1",22,12,8,8,11,19,6,6,12,3,22,4,4,8,6,5,93,66,159,27,41,16.9811320754717,25.7861635220126,41.5094339622642,58.4905660377358
"56","18","2",6,10,13,6,15,7,8,1,11,9,9,3,5,4,1,0,69,42,111,6,16,5.40540540540541,14.4144144144144,37.8378378378378,62.1621621621622
"57","18","3",9,5,2,5,3,3,5,2,5,1,4,2,3,3,2,3,35,25,60,12,7,20,11.6666666666667,41.6666666666667,58.3333333333333
"58","18","4",6,3,3,1,2,4,4,1,3,1,4,3,2,3,1,0,26,18,44,6,8,13.6363636363636,18.1818181818182,40.9090909090909,59.0909090909091
"59","18","5",2,2,5,1,3,7,2,1,2,3,5,2,2,0,1,1,24,18,42,3,12,7.14285714285714,28.5714285714286,42.8571428571429,57.1428571428571
"60","18","6",0,2,6,5,5,6,9,8,2,9,5,11,6,10,7,8,41,61,102,8,11,7.84313725490196,10.7843137254902,59.8039215686275,40.1960784313725
"61","19","1",0,0,0,2,1,13,15,14,0,2,14,27,1,27,13,13,45,100,145,13,27,8.96551724137931,18.6206896551724,68.9655172413793,31.0344827586207
"62","19","2",6,3,2,7,2,4,8,17,3,6,4,17,7,17,16,28,49,101,150,34,8,22.6666666666667,5.33333333333333,67.3333333333333,32.6666666666667
"63","19","3",4,6,9,6,6,9,10,13,6,9,6,17,9,15,14,20,64,98,162,24,15,14.8148148148148,9.25925925925926,60.4938271604938,39.5061728395062
"64","19","4",8,6,6,8,6,8,7,23,6,8,9,22,8,22,23,25,74,124,198,33,17,16.6666666666667,8.58585858585859,62.6262626262626,37.3737373737374
"65","19","5",1,5,1,10,4,4,9,13,5,5,7,12,6,15,12,36,47,101,148,37,11,25,7.43243243243243,68.2432432432432,31.7567567567568
"66","19","6",0,4,4,9,4,7,4,19,4,9,8,13,9,14,19,37,53,114,167,37,15,22.1556886227545,8.98203592814371,68.2634730538922,31.7365269461078
"67","2","1",9,11,11,9,14,8,5,16,11,9,11,12,7,15,16,25,85,107,192,34,19,17.7083333333333,9.89583333333333,55.7291666666667,44.2708333333333
"68","2","2",3,3,4,2,3,3,8,12,3,3,2,18,4,16,12,88,40,147,187,91,5,48.6631016042781,2.67379679144385,78.6096256684492,21.3903743315508
