0,Info,5/01/2023 17:13,Service 'ymaze_inLT' : Execution start,,
0,Info,Subject Identification,97 98 99 100 101 102 103 104,,
0,Info,Apparatus,139,,
0,Info,Unit ID,3A843F,,
30.805,Info,Arena,1,Enter_Zone,3
30.805,Info,Arena,2,Enter_Zone,2
30.805,Info,Arena,3,Enter_Zone,1
30.805,Info,Arena,4,Enter_Zone,2
30.805,Info,Arena,5,Enter_Zone,1
30.805,Info,Arena,6,Enter_Zone,1
30.805,Info,Arena,7,Enter_Zone,1
30.805,Info,Arena,8,Enter_Zone,2
31.29,Info,Arena,4,Exit_Zone,2
31.29,Info,Arena,4,Enter_Zone,4
31.393,Info,Arena,4,Exit_Zone,4
31.393,Info,Arena,4,Enter_Zone,3
31.393,Info,Arena,7,Exit_Zone,1
31.393,Info,Arena,7,Enter_Zone,4
31.705,Info,Arena,6,Exit_Zone,1
31.705,Info,Arena,6,Enter_Zone,4
31.705,Info,Arena,7,Exit_Zone,4
31.705,Info,Arena,7,Enter_Zone,3
31.927,Info,Arena,6,Exit_Zone,4
31.927,Info,Arena,6,Enter_Zone,3
34.454,Info,Arena,2,Exit_Zone,2
34.454,Info,Arena,2,Enter_Zone,3
34.988,Info,Arena,6,Exit_Zone,3
34.988,Info,Arena,6,Enter_Zone,4
35.189,Info,Arena,6,Exit_Zone,4
35.189,Info,Arena,6,Enter_Zone,1
35.254,Info,Arena,6,Exit_Zone,1
35.254,Info,Arena,6,Enter_Zone,4
35.321,Info,Arena,6,Exit_Zone,4
35.321,Info,Arena,6,Enter_Zone,1
35.389,Info,Arena,7,Exit_Zone,3
35.389,Info,Arena,7,Enter_Zone,4
35.658,Info,Arena,7,Exit_Zone,4
35.658,Info,Arena,7,Enter_Zone,2
35.754,Info,Arena,2,Exit_Zone,3
35.754,Info,Arena,2,Enter_Zone,4
35.788,Info,Arena,2,Exit_Zone,4
35.788,Info,Arena,2,Enter_Zone,1
36.854,Info,Arena,5,Exit_Zone,1
36.854,Info,Arena,5,Enter_Zone,4
37.154,Info,Arena,5,Exit_Zone,4
37.154,Info,Arena,5,Enter_Zone,2
37.22,Info,Arena,2,Exit_Zone,1
37.22,Info,Arena,2,Enter_Zone,4
37.321,Info,Arena,2,Exit_Zone,4
37.321,Info,Arena,2,Enter_Zone,3
38.287,Info,Arena,6,Exit_Zone,1
38.287,Info,Arena,6,Enter_Zone,4
38.455,Info,Arena,7,Exit_Zone,2
38.455,Info,Arena,7,Enter_Zone,4
38.488,Info,Arena,6,Exit_Zone,4
38.488,Info,Arena,6,Enter_Zone,2
38.731,Info,Arena,7,Exit_Zone,4
38.731,Info,Arena,7,Enter_Zone,3
40.321,Info,Arena,7,Exit_Zone,3
40.321,Info,Arena,7,Enter_Zone,4
40.596,Info,Arena,7,Exit_Zone,4
40.596,Info,Arena,7,Enter_Zone,2
40.921,Info,Arena,6,Exit_Zone,2
40.921,Info,Arena,6,Enter_Zone,4
41.153,Info,Arena,6,Exit_Zone,4
41.153,Info,Arena,6,Enter_Zone,3
42.22,Info,Arena,7,Exit_Zone,2
42.22,Info,Arena,7,Enter_Zone,4
42.254,Info,Arena,7,Exit_Zone,4
42.254,Info,Arena,7,Enter_Zone,1
43.679,Info,Arena,5,Exit_Zone,2
43.679,Info,Arena,5,Enter_Zone,4
43.753,Info,Arena,7,Exit_Zone,1
43.753,Info,Arena,7,Enter_Zone,4
43.886,Info,Arena,7,Exit_Zone,4
43.886,Info,Arena,7,Enter_Zone,2
44.082,Info,Arena,5,Exit_Zone,4
44.082,Info,Arena,5,Enter_Zone,1
44.322,Info,Arena,6,Exit_Zone,3
44.322,Info,Arena,6,Enter_Zone,4
44.557,Info,Arena,6,Exit_Zone,4
44.557,Info,Arena,6,Enter_Zone,2
44.978,Info,Arena,2,Exit_Zone,3
44.978,Info,Arena,2,Enter_Zone,4
45.13,Info,Arena,2,Exit_Zone,4
45.13,Info,Arena,2,Enter_Zone,3
46.064,Info,Arena,1,Exit_Zone,3
46.064,Info,Arena,1,Enter_Zone,4
46.312,Info,Arena,1,Exit_Zone,4
46.312,Info,Arena,1,Enter_Zone,2
46.312,Info,Arena,4,Exit_Zone,3
46.312,Info,Arena,4,Enter_Zone,4
46.382,Info,Arena,3,Exit_Zone,1
46.382,Info,Arena,3,Enter_Zone,4
46.702,Info,Arena,3,Exit_Zone,4
46.702,Info,Arena,3,Enter_Zone,3
46.769,Info,Arena,3,Exit_Zone,3
46.769,Info,Arena,3,Enter_Zone,4
46.872,Info,Arena,3,Exit_Zone,4
46.872,Info,Arena,3,Enter_Zone,1
